,1w,2w,1m,2m,3m,6m,9m,12m
02/01/2015,-0.02,-0.011,0.016,0.044,0.076,0.169,0.243,0.323
05/01/2015,-0.024,-0.014,0.015,0.043,0.075,0.169,0.241,0.321
06/01/2015,-0.028,-0.018,0.015,0.04,0.073,0.168,0.24,0.319
07/01/2015,-0.033,-0.024,0.012,0.038,0.07,0.168,0.241,0.319
08/01/2015,-0.036,-0.028,0.01,0.038,0.07,0.167,0.241,0.319
09/01/2015,-0.039,-0.029,0.009,0.038,0.07,0.168,0.24,0.318
12/01/2015,-0.042,-0.032,0.009,0.039,0.071,0.167,0.238,0.317
13/01/2015,-0.042,-0.033,0.008,0.039,0.071,0.166,0.237,0.318
14/01/2015,-0.047,-0.037,0.006,0.038,0.069,0.162,0.238,0.315
15/01/2015,-0.049,-0.032,0.007,0.038,0.069,0.161,0.235,0.313
16/01/2015,-0.051,-0.033,0.002,0.031,0.06,0.152,0.224,0.299
19/01/2015,-0.056,-0.038,-0.002,0.026,0.056,0.145,0.217,0.289
20/01/2015,-0.059,-0.039,-0.005,0.024,0.055,0.142,0.214,0.284
21/01/2015,-0.057,-0.036,-0.004,0.022,0.055,0.141,0.213,0.283
22/01/2015,-0.035,-0.025,-0.001,0.023,0.055,0.141,0.212,0.282
23/01/2015,-0.023,-0.016,0.001,0.024,0.053,0.137,0.206,0.275
26/01/2015,-0.018,-0.012,0.002,0.026,0.054,0.138,0.207,0.277
27/01/2015,-0.014,-0.01,0.005,0.028,0.055,0.138,0.208,0.277
28/01/2015,-0.014,-0.011,0.001,0.025,0.053,0.135,0.204,0.273
29/01/2015,-0.025,-0.018,0.001,0.023,0.052,0.132,0.203,0.271
30/01/2015,-0.024,-0.016,0.001,0.023,0.054,0.132,0.202,0.27
02/02/2015,-0.022,-0.017,0.003,0.024,0.055,0.134,0.202,0.271
03/02/2015,-0.025,-0.021,0.001,0.024,0.055,0.132,0.199,0.266
04/02/2015,-0.03,-0.024,0.001,0.023,0.055,0.132,0.195,0.263
05/02/2015,-0.032,-0.025,0.0,0.022,0.051,0.132,0.196,0.262
06/02/2015,-0.032,-0.024,0.002,0.024,0.053,0.132,0.196,0.261
09/02/2015,-0.031,-0.024,-0.001,0.022,0.051,0.131,0.195,0.261
10/02/2015,-0.031,-0.024,0.0,0.022,0.05,0.13,0.193,0.262
11/02/2015,-0.033,-0.025,0.001,0.022,0.049,0.129,0.191,0.26
12/02/2015,-0.034,-0.02,0.002,0.021,0.048,0.128,0.189,0.26
13/02/2015,-0.034,-0.019,0.002,0.021,0.048,0.127,0.188,0.259
16/02/2015,-0.033,-0.02,0.001,0.021,0.048,0.128,0.186,0.258
17/02/2015,-0.032,-0.019,0.001,0.021,0.047,0.127,0.186,0.258
18/02/2015,-0.032,-0.02,0.0,0.021,0.048,0.126,0.184,0.255
19/02/2015,-0.017,-0.016,0.0,0.021,0.048,0.125,0.181,0.252
20/02/2015,-0.013,-0.014,0.001,0.021,0.048,0.124,0.18,0.25
23/02/2015,-0.009,-0.011,0.001,0.019,0.045,0.119,0.175,0.246
24/02/2015,-0.004,-0.009,0.001,0.02,0.044,0.119,0.174,0.245
