,EONIA
21/04/2015,-0.084
22/04/2015,-0.077
23/04/2015,-0.08
24/04/2015,-0.081
27/04/2015,-0.081
28/04/2015,-0.079
29/04/2015,-0.072
30/04/2015,-0.027
04/05/2015,-0.084
05/05/2015,-0.085
06/05/2015,-0.088
07/05/2015,-0.089
08/05/2015,-0.087
11/05/2015,-0.089
12/05/2015,-0.091
13/05/2015,-0.137
14/05/2015,-0.143
15/05/2015,-0.11
18/05/2015,-0.105
19/05/2015,-0.106
20/05/2015,-0.105
21/05/2015,-0.106
22/05/2015,-0.14
25/05/2015,-0.143
26/05/2015,-0.109
27/05/2015,-0.114
28/05/2015,-0.104
29/05/2015,-0.08
01/06/2015,-0.106
02/06/2015,-0.122
03/06/2015,-0.143
04/06/2015,-0.138
05/06/2015,-0.115
08/06/2015,-0.127
09/06/2015,-0.126
10/06/2015,-0.117
11/06/2015,-0.12
12/06/2015,-0.125
15/06/2015,-0.119
16/06/2015,-0.125
17/06/2015,-0.11
18/06/2015,-0.118
19/06/2015,-0.12
22/06/2015,-0.127
23/06/2015,-0.121
24/06/2015,-0.111
25/06/2015,-0.116
26/06/2015,-0.123
29/06/2015,-0.118
30/06/2015,-0.06
01/07/2015,-0.123
02/07/2015,-0.121
03/07/2015,-0.116
06/07/2015,-0.122
07/07/2015,-0.12
08/07/2015,-0.118
09/07/2015,-0.121
10/07/2015,-0.12
13/07/2015,-0.118
14/07/2015,-0.112
